objectid,Geographic ID,State FIPS,County FIPS,Census Tract,Total Population,Total Population for Income,Total Civilian Population,Total Households,Total Families,Total Over 5 Population,Total Over 75 Population,People of Color Population,Single-Parent Family Population,Limited English Proficiency Population,Low-Income Population,Disabled Population,Rent-Burdened Population,Zero-Vehicle Household Population,Percent Over 75,Percent People of Color,Percent Single-Parent Family,Percent Limited English Proficiency,Percent Low-Income,Percent Disabled,Percent Rent-Burdened,Percent Zero-Vehicle Household,Over 75 Reg Mean Plus Half SD,People of Color Reg Mean Plus Half SD,Single-Parent Family Reg Mean Plus Half SD,Limited English Proficiency Reg Mean Plus Half SD,Low-Income Reg Mean Plus Half SD,Disabled Reg Mean Plus Half SD,Rent-Burdened Reg Mean Plus Half SD,Zero-Vehicle Household Reg Mean Plus Half SD,PBA 2035 Equity Priority Community,PBA 2040 Equity Priority Community,PBA 2050 Equity Priority Community,Change PBA 2040 to 2050,Equity Priority Community Class,Shape__Area,Shape__Length
1699,06001410300,06,001,410300,3851,3851,3851,998,803,3505,88,3772,299,812,1857,308,151,55,0.022851207478577,0.979485847831732,0.372353673723537,0.231669044222539,0.482212412360426,0.0799792261750195,0.151302605210421,0.0551102204408818,0,1,1,1,1,0,1,0,1,1,1,0,Highest,5.91549510318146E-05,0.0325527543553631
1700,06001410400,06,001,410400,4185,4182,4182,1363,997,3911,184,3942,234,539,1388,407,142,117,0.0439665471923536,0.941935483870968,0.234704112337011,0.137816415239069,0.331898613103778,0.0973218555714969,0.104181951577403,0.0858400586940572,0,1,1,1,1,0,0,0,1,1,1,0,High,7.21118562978518E-05,0.0355032421419735
1701,06001410500,06,001,410500,2373,2373,2373,936,569,2158,78,2175,320,134,1624,378,204,276,0.0328697850821745,0.916561314791403,0.562390158172232,0.06209453197405,0.684365781710914,0.15929203539823,0.217948717948718,0.294871794871795,0,1,1,0,1,1,1,1,1,1,1,0,Higher,7.45536221984366E-05,0.0392272454602053
1717,06001422000,06,001,422000,2071,2052,2071,859,471,1911,27,671,98,19,603,258,124,63,0.0130371801062289,0.32399806856591,0.208067940552017,0.00994243851386709,0.293859649122807,0.124577498792854,0.144353899883586,0.0733410942956927,0,0,1,0,1,1,1,0,0,0,1,1,High,0.000563249151582568,0.153439899880322
1725,06001422800,06,001,422800,9155,3220,9155,1303,110,9148,8,6468,0,67,2545,452,746,744,0.000873839432004369,0.706499180775533,0,0.00732400524704854,0.790372670807453,0.0493719279082469,0.572524942440522,0.570990023023791,0,1,0,0,1,0,1,1,0,0,1,1,High,4.16423395108723E-05,0.0301999292521104
1726,06001422900,06,001,422900,5463,5368,5436,2044,510,5438,100,3383,101,207,3450,577,862,1291,0.0183049606443346,0.61925681859784,0.198039215686275,0.0380654652445752,0.642697466467958,0.106144223693893,0.421722113502935,0.63160469667319,0,0,1,0,1,0,1,1,1,1,1,0,High,5.51415041627479E-05,0.0303387010249951
1729,06001423200,06,001,423200,3004,2981,2989,1112,637,2812,27,2108,190,176,1208,339,249,167,0.00898801597869507,0.701731025299601,0.298273155416013,0.0625889046941678,0.405233143240523,0.113415858146537,0.223920863309353,0.150179856115108,0,1,1,0,1,0,1,1,0,0,1,1,High,4.67595400550636E-05,0.0279484755595812
1730,06001423300,06,001,423300,3764,3764,3764,1644,960,3504,321,2199,199,124,1073,423,305,284,0.0852816153028693,0.584218916046759,0.207291666666667,0.0353881278538813,0.285069075451647,0.112380446333688,0.185523114355231,0.172749391727494,1,0,1,0,1,0,1,1,0,0,1,1,High,7.43130585760809E-05,0.0348134059869519
1739,06001424001,06,001,424001,4151,4133,4140,1473,805,3977,107,2162,188,155,1587,487,285,250,0.0257769212238015,0.520838352204288,0.233540372670807,0.038974101081217,0.383982579240261,0.117632850241546,0.193482688391039,0.169721656483367,0,0,1,0,1,0,1,1,1,1,1,0,High,5.19778895977652E-05,0.0302306999455064
1744,06001425104,06,001,425104,3658,3657,3650,1984,608,3462,296,2307,177,101,1083,548,348,391,0.0809185347184254,0.630672498633133,0.291118421052632,0.0291738879260543,0.296144380639869,0.15013698630137,0.175403225806452,0.197076612903226,1,0,1,0,1,1,1,1,1,0,1,1,High,0.000110304665213334,0.0442613079678908
1750,06001427600,06,001,427600,5559,5529,5508,1848,1281,5141,267,4237,246,494,2385,632,535,191,0.0480302212628171,0.762187443784853,0.192037470725995,0.0960902548142385,0.431361909929463,0.114742193173566,0.289502164502164,0.103354978354978,0,1,1,0,1,0,1,0,1,1,1,0,High,5.98133310631965E-05,0.0374057223336567
